Room, type, size, cost, discount, availability, guest, guestPassword
1, double room, 30, 110, 0, available, none, none
2, single room, 20, 74, 0, available, none, none
3, suite, 55, 230, 0, available, none, none
4, triple room, 35, 129, 0, available, none, none
5, junior suite, 45, 166, 0, available, none, none
6, double room, 27, 121, 0, available, none, none
7, deluxe room, 40, 157, 0, available, none, none
8, queen room, 35, 120, 0, available, none, none
9, studio room, 45, 147, 0, available, none, none
10, suite, 60, 275, 0, available, none, none
